id,configuration string
26,-barrier_algorithm '1' -barrier_crossover '1' -barrier_limits_corrections '34038' -barrier_limits_growth '3.3455304386841516E11' -barrier_ordering '3' -barrier_startalg '1' -emphasis_memory 'no' -emphasis_mip '1' -emphasis_numerical 'yes' -feasopt_mode '5' -lpmethod '6' -mip_cuts_cliques '2' -mip_cuts_covers '1' -mip_cuts_disjunctive '3' -mip_cuts_flowcovers '1' -mip_cuts_gomory '1' -mip_cuts_gubcovers '-1' -mip_cuts_implied '0' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '1' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '-1' -mip_limits_aggforcut '18531' -mip_limits_cutpasses '49868' -mip_limits_cutsfactor '19.90530559896426' -mip_limits_gomorycand '16' -mip_limits_gomorypass '63072' -mip_limits_submipnodelim '153' -mip_ordertype '2' -mip_strategy_backtrack '0.4121229877565711' -mip_strategy_bbinterval '1043' -mip_strategy_branch '0' -mip_strategy_dive '0' -mip_strategy_file '1' -mip_strategy_fpheur '2' -mip_strategy_heuristicfreq '31766.086542536592' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '2' -mip_strategy_order 'no' -mip_strategy_presolvenode '-1' -mip_strategy_probe '0' -mip_strategy_rinsheur '39329' -mip_strategy_search '1' -mip_strategy_startalgorithm '6' -mip_strategy_subalgorithm '3' -mip_strategy_variableselect '-1' -network_netfind '2' -network_pricing '0' -preprocessing_aggregator '42248' -preprocessing_boundstrength '0' -preprocessing_coeffreduce '2' -preprocessing_dependency '3' -preprocessing_dual '0' -preprocessing_fill '13' -preprocessing_linear '0' -preprocessing_numpass '8833' -preprocessing_reduce '1' -preprocessing_relax '1' -preprocessing_repeatpresolve '0' -preprocessing_symmetry '2' -read_scale '0' -sifting_algorithm '4' -simplex_crash '0' -simplex_dgradient '0' -simplex_limits_perturbation '41427' -simplex_limits_singularity '37' -simplex_perturbation_switch 'no' -simplex_pgradient '-1' -simplex_pricing '61072' -simplex_refactor '2648.7982349032736' -simplex_tolerances_markowitz '7.078393470247653E-4'
27,-barrier_algorithm '1' -barrier_crossover '0' -barrier_limits_corrections '53384' -barrier_limits_growth '1.0738887519238788E11' -barrier_ordering '3' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '3' -emphasis_numerical 'no' -feasopt_mode '3' -lpmethod '2' -mip_cuts_cliques '3' -mip_cuts_covers '2' -mip_cuts_disjunctive '3' -mip_cuts_flowcovers '1' -mip_cuts_gomory '0' -mip_cuts_gubcovers '1' -mip_cuts_implied '1' -mip_cuts_mcfcut '2' -mip_cuts_mircut '0' -mip_cuts_pathcut '2' -mip_cuts_zerohalfcut '2' -mip_limits_aggforcut '49103' -mip_limits_cutpasses '57025' -mip_limits_cutsfactor '7.934224752726245' -mip_limits_gomorycand '23' -mip_limits_gomorypass '24440' -mip_limits_submipnodelim '4' -mip_ordertype '0' -mip_strategy_backtrack '0.2395491049464843' -mip_strategy_bbinterval '1' -mip_strategy_branch '-1' -mip_strategy_dive '0' -mip_strategy_file '1' -mip_strategy_fpheur '-1' -mip_strategy_heuristicfreq '15511.65107526481' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '0' -mip_strategy_presolvenode '0' -mip_strategy_probe '0' -mip_strategy_rinsheur '27214' -mip_strategy_search '0' -mip_strategy_startalgorithm '5' -mip_strategy_subalgorithm '2' -mip_strategy_variableselect '1' -network_netfind '2' -network_pricing '1' -perturbation_constant '0.06244240717355606' -preprocessing_aggregator '60875' -preprocessing_boundstrength '1' -preprocessing_coeffreduce '3' -preprocessing_dependency '3' -preprocessing_dual '-1' -preprocessing_fill '166' -preprocessing_linear '1' -preprocessing_numpass '8300' -preprocessing_reduce '2' -preprocessing_relax '-1' -preprocessing_repeatpresolve '1' -preprocessing_symmetry '1' -read_scale '0' -sifting_algorithm '4' -simplex_crash '1' -simplex_dgradient '0' -simplex_limits_perturbation '19535' -simplex_limits_singularity '3160' -simplex_perturbation_switch 'yes' -simplex_pgradient '-1' -simplex_pricing '30063' -simplex_refactor '916.5661613652998' -simplex_tolerances_markowitz '0.001132596052581812'
28,-barrier_algorithm '2' -barrier_crossover '-1' -barrier_limits_corrections '36780' -barrier_limits_growth '74.90422013758261' -barrier_ordering '1' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '4' -emphasis_numerical 'no' -feasopt_mode '1' -lpmethod '3' -mip_cuts_cliques '0' -mip_cuts_covers '-1' -mip_cuts_disjunctive '0' -mip_cuts_flowcovers '2' -mip_cuts_gomory '2' -mip_cuts_gubcovers '2' -mip_cuts_implied '1' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '2' -mip_cuts_pathcut '2' -mip_cuts_zerohalfcut '2' -mip_limits_aggforcut '15388' -mip_limits_cutpasses '1726' -mip_limits_cutsfactor '36030.839340004786' -mip_limits_gomorycand '26056' -mip_limits_gomorypass '19265' -mip_limits_submipnodelim '205' -mip_ordertype '1' -mip_strategy_backtrack '0.9474425975914125' -mip_strategy_bbinterval '13247' -mip_strategy_branch '0' -mip_strategy_dive '2' -mip_strategy_file '0' -mip_strategy_fpheur '2' -mip_strategy_heuristicfreq '14320.546872001258' -mip_strategy_lbheur 'yes' -mip_strategy_nodeselect '1' -mip_strategy_order 'no' -mip_strategy_presolvenode '-1' -mip_strategy_probe '3' -mip_strategy_rinsheur '50713' -mip_strategy_search '2' -mip_strategy_startalgorithm '0' -mip_strategy_subalgorithm '2' -mip_strategy_variableselect '4' -network_netfind '3' -network_pricing '1' -preprocessing_aggregator '29304' -preprocessing_boundstrength '-1' -preprocessing_coeffreduce '-1' -preprocessing_dependency '1' -preprocessing_dual '-1' -preprocessing_fill '4123' -preprocessing_linear '1' -preprocessing_numpass '31934' -preprocessing_reduce '2' -preprocessing_relax '1' -preprocessing_repeatpresolve '0' -preprocessing_symmetry '4' -read_scale '1' -sifting_algorithm '1' -simplex_crash '0' -simplex_dgradient '3' -simplex_limits_perturbation '49427' -simplex_limits_singularity '7689' -simplex_perturbation_switch 'no' -simplex_pgradient '3' -simplex_pricing '48691' -simplex_refactor '6839.852128501946' -simplex_tolerances_markowitz '7.236343976396385E-4'
29,-barrier_algorithm '3' -barrier_crossover '2' -barrier_limits_corrections '18670' -barrier_limits_growth '12.555841303775145' -barrier_ordering '3' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '2' -emphasis_numerical 'no' -feasopt_mode '3' -lpmethod '2' -mip_cuts_cliques '2' -mip_cuts_covers '3' -mip_cuts_disjunctive '-1' -mip_cuts_flowcovers '2' -mip_cuts_gomory '1' -mip_cuts_gubcovers '1' -mip_cuts_implied '2' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '-1' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '-1' -mip_limits_aggforcut '3825' -mip_limits_cutpasses '26847' -mip_limits_cutsfactor '873.5477991494423' -mip_limits_gomorycand '10' -mip_limits_gomorypass '18721' -mip_limits_submipnodelim '6915' -mip_ordertype '0' -mip_strategy_backtrack '0.25592382138386505' -mip_strategy_bbinterval '129' -mip_strategy_branch '-1' -mip_strategy_dive '3' -mip_strategy_file '0' -mip_strategy_fpheur '0' -mip_strategy_heuristicfreq '47274.99576423242' -mip_strategy_lbheur 'yes' -mip_strategy_nodeselect '2' -mip_strategy_presolvenode '-1' -mip_strategy_probe '3' -mip_strategy_rinsheur '52785' -mip_strategy_search '2' -mip_strategy_startalgorithm '4' -mip_strategy_subalgorithm '2' -mip_strategy_variableselect '4' -network_netfind '3' -network_pricing '2' -perturbation_constant '6.747604900793291E-5' -preprocessing_aggregator '43130' -preprocessing_boundstrength '-1' -preprocessing_coeffreduce '-1' -preprocessing_dependency '0' -preprocessing_dual '-1' -preprocessing_fill '163' -preprocessing_linear '1' -preprocessing_numpass '45137' -preprocessing_reduce '0' -preprocessing_relax '1' -preprocessing_repeatpresolve '3' -preprocessing_symmetry '2' -read_scale '0' -sifting_algorithm '1' -simplex_crash '-1' -simplex_dgradient '2' -simplex_limits_perturbation '19738' -simplex_limits_singularity '215' -simplex_perturbation_switch 'yes' -simplex_pgradient '1' -simplex_pricing '9035' -simplex_refactor '9936.000994929975' -simplex_tolerances_markowitz '0.016847720136651388'
30,-barrier_algorithm '2' -barrier_crossover '2' -barrier_limits_corrections '24952' -barrier_limits_growth '8.825077216730291E9' -barrier_ordering '0' -barrier_startalg '3' -emphasis_memory 'no' -emphasis_mip '3' -emphasis_numerical 'yes' -feasopt_mode '3' -lpmethod '6' -mip_cuts_cliques '1' -mip_cuts_covers '3' -mip_cuts_disjunctive '2' -mip_cuts_flowcovers '1' -mip_cuts_gomory '-1' -mip_cuts_gubcovers '0' -mip_cuts_implied '0' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '-1' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '-1' -mip_limits_aggforcut '33959' -mip_limits_cutpasses '50256' -mip_limits_cutsfactor '31467.649486631373' -mip_limits_gomorycand '1' -mip_limits_gomorypass '12830' -mip_limits_submipnodelim '8' -mip_ordertype '2' -mip_strategy_backtrack '0.9788114240013447' -mip_strategy_bbinterval '1' -mip_strategy_branch '0' -mip_strategy_dive '0' -mip_strategy_file '0' -mip_strategy_fpheur '2' -mip_strategy_heuristicfreq '34691.56375628449' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '2' -mip_strategy_order 'no' -mip_strategy_presolvenode '0' -mip_strategy_probe '3' -mip_strategy_rinsheur '1743' -mip_strategy_search '2' -mip_strategy_startalgorithm '2' -mip_strategy_subalgorithm '0' -mip_strategy_variableselect '2' -network_netfind '1' -network_pricing '2' -perturbation_constant '1.3275684027205155E-4' -preprocessing_aggregator '30957' -preprocessing_boundstrength '0' -preprocessing_coeffreduce '2' -preprocessing_dependency '-1' -preprocessing_dual '1' -preprocessing_fill '26' -preprocessing_linear '1' -preprocessing_numpass '13535' -preprocessing_reduce '1' -preprocessing_relax '0' -preprocessing_repeatpresolve '-1' -preprocessing_symmetry '3' -read_scale '1' -sifting_algorithm '4' -simplex_crash '1' -simplex_dgradient '1' -simplex_limits_perturbation '22394' -simplex_limits_singularity '4000' -simplex_perturbation_switch 'yes' -simplex_pgradient '4' -simplex_pricing '21188' -simplex_refactor '880.826833691587' -simplex_tolerances_markowitz '0.011793521905473583'
31,-barrier_algorithm '1' -barrier_crossover '-1' -barrier_limits_corrections '62790' -barrier_limits_growth '3.5866908086910315E11' -barrier_ordering '3' -barrier_startalg '3' -emphasis_memory 'no' -emphasis_mip '2' -emphasis_numerical 'yes' -feasopt_mode '0' -lpmethod '4' -mip_cuts_cliques '-1' -mip_cuts_covers '1' -mip_cuts_disjunctive '0' -mip_cuts_flowcovers '-1' -mip_cuts_gomory '2' -mip_cuts_gubcovers '1' -mip_cuts_implied '-1' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '2' -mip_cuts_pathcut '0' -mip_cuts_zerohalfcut '1' -mip_limits_aggforcut '43814' -mip_limits_cutpasses '28125' -mip_limits_cutsfactor '1.628224823378569' -mip_limits_gomorycand '5' -mip_limits_gomorypass '29272' -mip_limits_submipnodelim '33729' -mip_ordertype '1' -mip_strategy_backtrack '0.04189037185450706' -mip_strategy_bbinterval '732' -mip_strategy_branch '1' -mip_strategy_dive '3' -mip_strategy_file '0' -mip_strategy_fpheur '1' -mip_strategy_heuristicfreq '51755.44557565955' -mip_strategy_lbheur 'yes' -mip_strategy_nodeselect '1' -mip_strategy_order 'yes' -mip_strategy_presolvenode '0' -mip_strategy_probe '2' -mip_strategy_rinsheur '12077' -mip_strategy_search '1' -mip_strategy_startalgorithm '5' -mip_strategy_subalgorithm '2' -mip_strategy_variableselect '0' -network_netfind '2' -network_pricing '0' -perturbation_constant '4.915181972421811E-5' -preprocessing_aggregator '44251' -preprocessing_boundstrength '-1' -preprocessing_coeffreduce '0' -preprocessing_dependency '1' -preprocessing_dual '-1' -preprocessing_fill '236' -preprocessing_linear '0' -preprocessing_numpass '10298' -preprocessing_reduce '2' -preprocessing_relax '0' -preprocessing_repeatpresolve '-1' -preprocessing_symmetry '0' -read_scale '1' -sifting_algorithm '1' -simplex_crash '1' -simplex_dgradient '3' -simplex_limits_perturbation '17196' -simplex_limits_singularity '706' -simplex_perturbation_switch 'yes' -simplex_pgradient '-1' -simplex_pricing '28666' -simplex_refactor '248.33129072727166' -simplex_tolerances_markowitz '0.010082298233272424'
32,-barrier_algorithm '3' -barrier_crossover '-1' -barrier_limits_corrections '24425' -barrier_limits_growth '2.122910060343941E8' -barrier_ordering '3' -barrier_startalg '4' -emphasis_memory 'no' -emphasis_mip '3' -emphasis_numerical 'no' -feasopt_mode '0' -lpmethod '4' -mip_cuts_cliques '3' -mip_cuts_covers '3' -mip_cuts_disjunctive '0' -mip_cuts_flowcovers '1' -mip_cuts_gomory '2' -mip_cuts_gubcovers '1' -mip_cuts_implied '2' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '-1' -mip_cuts_pathcut '0' -mip_cuts_zerohalfcut '0' -mip_limits_aggforcut '43434' -mip_limits_cutpasses '28947' -mip_limits_cutsfactor '453.1335203374528' -mip_limits_gomorycand '1996' -mip_limits_gomorypass '38626' -mip_limits_submipnodelim '4177' -mip_ordertype '3' -mip_strategy_backtrack '0.4242817475335291' -mip_strategy_bbinterval '47786' -mip_strategy_branch '0' -mip_strategy_dive '1' -mip_strategy_file '0' -mip_strategy_fpheur '0' -mip_strategy_heuristicfreq '84.08789006395091' -mip_strategy_lbheur 'yes' -mip_strategy_nodeselect '0' -mip_strategy_order 'no' -mip_strategy_presolvenode '2' -mip_strategy_probe '2' -mip_strategy_rinsheur '10525' -mip_strategy_search '0' -mip_strategy_startalgorithm '3' -mip_strategy_subalgorithm '3' -mip_strategy_variableselect '-1' -network_netfind '1' -network_pricing '0' -preprocessing_aggregator '20211' -preprocessing_boundstrength '1' -preprocessing_coeffreduce '2' -preprocessing_dependency '-1' -preprocessing_dual '0' -preprocessing_fill '1420' -preprocessing_linear '1' -preprocessing_numpass '4367' -preprocessing_reduce '3' -preprocessing_relax '0' -preprocessing_repeatpresolve '0' -preprocessing_symmetry '5' -read_scale '0' -sifting_algorithm '1' -simplex_crash '0' -simplex_dgradient '1' -simplex_limits_perturbation '43037' -simplex_limits_singularity '50' -simplex_perturbation_switch 'no' -simplex_pgradient '4' -simplex_pricing '34228' -simplex_refactor '3992.3703265049026' -simplex_tolerances_markowitz '0.20839961182566805'
33,-barrier_algorithm '0' -barrier_crossover '1' -barrier_limits_corrections '29489' -barrier_limits_growth '1459191.0184553454' -barrier_ordering '1' -barrier_startalg '1' -emphasis_memory 'no' -emphasis_mip '4' -emphasis_numerical 'yes' -feasopt_mode '1' -lpmethod '4' -mip_cuts_cliques '3' -mip_cuts_covers '1' -mip_cuts_disjunctive '2' -mip_cuts_flowcovers '1' -mip_cuts_gomory '-1' -mip_cuts_gubcovers '0' -mip_cuts_implied '2' -mip_cuts_mcfcut '2' -mip_cuts_mircut '-1' -mip_cuts_pathcut '0' -mip_cuts_zerohalfcut '2' -mip_limits_aggforcut '5213' -mip_limits_cutpasses '23029' -mip_limits_cutsfactor '6.139660869801948' -mip_limits_gomorycand '53744' -mip_limits_gomorypass '57712' -mip_limits_submipnodelim '102' -mip_ordertype '2' -mip_strategy_backtrack '0.7739931530917925' -mip_strategy_bbinterval '6' -mip_strategy_branch '0' -mip_strategy_dive '0' -mip_strategy_file '0' -mip_strategy_fpheur '-1' -mip_strategy_heuristicfreq '36755.95515743919' -mip_strategy_lbheur 'yes' -mip_strategy_nodeselect '3' -mip_strategy_order 'yes' -mip_strategy_presolvenode '3' -mip_strategy_probe '1' -mip_strategy_rinsheur '39290' -mip_strategy_search '1' -mip_strategy_startalgorithm '4' -mip_strategy_subalgorithm '4' -mip_strategy_variableselect '2' -network_netfind '3' -network_pricing '0' -preprocessing_aggregator '21722' -preprocessing_boundstrength '1' -preprocessing_coeffreduce '2' -preprocessing_dependency '1' -preprocessing_dual '-1' -preprocessing_fill '350' -preprocessing_linear '0' -preprocessing_numpass '8128' -preprocessing_reduce '3' -preprocessing_relax '0' -preprocessing_repeatpresolve '2' -preprocessing_symmetry '0' -read_scale '1' -sifting_algorithm '3' -simplex_crash '0' -simplex_dgradient '2' -simplex_limits_perturbation '4979' -simplex_limits_singularity '39' -simplex_perturbation_switch 'no' -simplex_pgradient '-1' -simplex_pricing '9439' -simplex_refactor '4754.326975531099' -simplex_tolerances_markowitz '0.3870775495947252'
34,-barrier_algorithm '0' -barrier_crossover '-1' -barrier_limits_corrections '51124' -barrier_limits_growth '24.578550377071824' -barrier_ordering '2' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '4' -emphasis_numerical 'no' -feasopt_mode '1' -lpmethod '1' -mip_cuts_cliques '3' -mip_cuts_covers '1' -mip_cuts_disjunctive '3' -mip_cuts_flowcovers '-1' -mip_cuts_gomory '2' -mip_cuts_gubcovers '0' -mip_cuts_implied '2' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '1' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '2' -mip_limits_aggforcut '56974' -mip_limits_cutpasses '39913' -mip_limits_cutsfactor '7792.482861788703' -mip_limits_gomorycand '8485' -mip_limits_gomorypass '17805' -mip_limits_strongcand '9542' -mip_limits_strongit '18516' -mip_limits_submipnodelim '3' -mip_ordertype '2' -mip_strategy_backtrack '0.31818797398413123' -mip_strategy_bbinterval '12810' -mip_strategy_branch '1' -mip_strategy_dive '1' -mip_strategy_file '0' -mip_strategy_fpheur '2' -mip_strategy_heuristicfreq '28022.79304803776' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '3' -mip_strategy_order 'no' -mip_strategy_presolvenode '3' -mip_strategy_probe '0' -mip_strategy_rinsheur '29107' -mip_strategy_search '2' -mip_strategy_startalgorithm '6' -mip_strategy_subalgorithm '2' -mip_strategy_variableselect '3' -network_netfind '3' -network_pricing '0' -preprocessing_aggregator '60534' -preprocessing_boundstrength '-1' -preprocessing_coeffreduce '-1' -preprocessing_dependency '3' -preprocessing_dual '1' -preprocessing_fill '7948' -preprocessing_linear '1' -preprocessing_numpass '64531' -preprocessing_reduce '3' -preprocessing_relax '-1' -preprocessing_repeatpresolve '3' -preprocessing_symmetry '4' -read_scale '0' -sifting_algorithm '4' -simplex_crash '1' -simplex_dgradient '4' -simplex_limits_perturbation '55492' -simplex_limits_singularity '2' -simplex_perturbation_switch 'no' -simplex_pgradient '2' -simplex_pricing '2189' -simplex_refactor '9125.512871673189' -simplex_tolerances_markowitz '2.1603987708563837E-4'
35,-barrier_algorithm '1' -barrier_crossover '0' -barrier_limits_corrections '20207' -barrier_limits_growth '2966.9183270577223' -barrier_ordering '1' -barrier_startalg '1' -emphasis_memory 'no' -emphasis_mip '4' -emphasis_numerical 'yes' -feasopt_mode '5' -lpmethod '5' -mip_cuts_cliques '0' -mip_cuts_covers '2' -mip_cuts_disjunctive '0' -mip_cuts_flowcovers '1' -mip_cuts_gomory '2' -mip_cuts_gubcovers '1' -mip_cuts_implied '2' -mip_cuts_mcfcut '2' -mip_cuts_mircut '2' -mip_cuts_pathcut '-1' -mip_cuts_zerohalfcut '-1' -mip_limits_aggforcut '59808' -mip_limits_cutpasses '14011' -mip_limits_cutsfactor '29.004206012027474' -mip_limits_gomorycand '57612' -mip_limits_gomorypass '12181' -mip_limits_submipnodelim '7' -mip_ordertype '0' -mip_strategy_backtrack '0.5383368360368948' -mip_strategy_bbinterval '11185' -mip_strategy_branch '1' -mip_strategy_dive '0' -mip_strategy_file '1' -mip_strategy_fpheur '0' -mip_strategy_heuristicfreq '27949.10938577853' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '3' -mip_strategy_presolvenode '-1' -mip_strategy_probe '3' -mip_strategy_rinsheur '34969' -mip_strategy_search '1' -mip_strategy_startalgorithm '3' -mip_strategy_subalgorithm '0' -mip_strategy_variableselect '0' -network_netfind '2' -network_pricing '2' -preprocessing_aggregator '11405' -preprocessing_boundstrength '1' -preprocessing_coeffreduce '2' -preprocessing_dependency '0' -preprocessing_dual '0' -preprocessing_fill '50966' -preprocessing_linear '1' -preprocessing_numpass '2846' -preprocessing_reduce '3' -preprocessing_relax '-1' -preprocessing_repeatpresolve '-1' -preprocessing_symmetry '2' -read_scale '1' -sifting_algorithm '0' -simplex_crash '1' -simplex_dgradient '5' -simplex_limits_perturbation '60948' -simplex_limits_singularity '6' -simplex_perturbation_switch 'no' -simplex_pgradient '0' -simplex_pricing '19561' -simplex_refactor '323.65259998320295' -simplex_tolerances_markowitz '0.03173522589599495'
36,-barrier_algorithm '2' -barrier_crossover '-1' -barrier_limits_corrections '39426' -barrier_limits_growth '1.9173879403976747E14' -barrier_ordering '0' -barrier_startalg '4' -emphasis_memory 'no' -emphasis_mip '2' -emphasis_numerical 'yes' -feasopt_mode '1' -lpmethod '2' -mip_cuts_cliques '3' -mip_cuts_covers '2' -mip_cuts_disjunctive '0' -mip_cuts_flowcovers '1' -mip_cuts_gomory '2' -mip_cuts_gubcovers '-1' -mip_cuts_implied '2' -mip_cuts_mcfcut '2' -mip_cuts_mircut '2' -mip_cuts_pathcut '2' -mip_cuts_zerohalfcut '-1' -mip_limits_aggforcut '36053' -mip_limits_cutpasses '12910' -mip_limits_cutsfactor '13.109312590332943' -mip_limits_gomorycand '1' -mip_limits_gomorypass '14814' -mip_limits_strongcand '42' -mip_limits_strongit '29671' -mip_limits_submipnodelim '9' -mip_ordertype '1' -mip_strategy_backtrack '0.1140941859842386' -mip_strategy_bbinterval '602' -mip_strategy_branch '0' -mip_strategy_dive '1' -mip_strategy_file '1' -mip_strategy_fpheur '1' -mip_strategy_heuristicfreq '45494.88215528524' -mip_strategy_lbheur 'yes' -mip_strategy_nodeselect '0' -mip_strategy_order 'yes' -mip_strategy_presolvenode '0' -mip_strategy_probe '1' -mip_strategy_rinsheur '11250' -mip_strategy_search '0' -mip_strategy_startalgorithm '2' -mip_strategy_subalgorithm '0' -mip_strategy_variableselect '3' -network_netfind '1' -network_pricing '1' -preprocessing_aggregator '34394' -preprocessing_boundstrength '1' -preprocessing_coeffreduce '1' -preprocessing_dependency '3' -preprocessing_dual '1' -preprocessing_fill '64144' -preprocessing_linear '0' -preprocessing_numpass '35138' -preprocessing_reduce '2' -preprocessing_relax '0' -preprocessing_repeatpresolve '-1' -preprocessing_symmetry '-1' -read_scale '-1' -sifting_algorithm '0' -simplex_crash '0' -simplex_dgradient '4' -simplex_limits_perturbation '62886' -simplex_limits_singularity '10573' -simplex_perturbation_switch 'no' -simplex_pgradient '2' -simplex_pricing '64896' -simplex_refactor '983.4466579570322' -simplex_tolerances_markowitz '7.015537465490546E-4'
37,-barrier_algorithm '3' -barrier_crossover '-1' -barrier_limits_corrections '30414' -barrier_limits_growth '779.6963818213479' -barrier_ordering '2' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '4' -emphasis_numerical 'no' -feasopt_mode '0' -lpmethod '2' -mip_cuts_cliques '1' -mip_cuts_covers '2' -mip_cuts_disjunctive '-1' -mip_cuts_flowcovers '0' -mip_cuts_gomory '-1' -mip_cuts_gubcovers '2' -mip_cuts_implied '0' -mip_cuts_mcfcut '2' -mip_cuts_mircut '1' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '1' -mip_limits_aggforcut '29064' -mip_limits_cutpasses '63141' -mip_limits_cutsfactor '20926.5257896552' -mip_limits_gomorycand '5' -mip_limits_gomorypass '39056' -mip_limits_strongcand '430' -mip_limits_strongit '46199' -mip_limits_submipnodelim '28476' -mip_ordertype '0' -mip_strategy_backtrack '0.23912508986610148' -mip_strategy_bbinterval '12477' -mip_strategy_branch '-1' -mip_strategy_dive '1' -mip_strategy_file '1' -mip_strategy_fpheur '2' -mip_strategy_heuristicfreq '23873.061494377653' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '1' -mip_strategy_presolvenode '2' -mip_strategy_probe '-1' -mip_strategy_rinsheur '11726' -mip_strategy_search '2' -mip_strategy_startalgorithm '4' -mip_strategy_subalgorithm '5' -mip_strategy_variableselect '3' -network_netfind '1' -network_pricing '2' -perturbation_constant '8.42343792001802E-6' -preprocessing_aggregator '39031' -preprocessing_boundstrength '1' -preprocessing_coeffreduce '-1' -preprocessing_dependency '2' -preprocessing_dual '0' -preprocessing_fill '945' -preprocessing_linear '0' -preprocessing_numpass '6900' -preprocessing_reduce '3' -preprocessing_relax '1' -preprocessing_repeatpresolve '1' -preprocessing_symmetry '2' -read_scale '1' -sifting_algorithm '2' -simplex_crash '0' -simplex_dgradient '2' -simplex_limits_perturbation '62002' -simplex_limits_singularity '4123' -simplex_perturbation_switch 'yes' -simplex_pgradient '-1' -simplex_pricing '38206' -simplex_refactor '9276.969353109029' -simplex_tolerances_markowitz '0.016679035875892145'
38,-barrier_algorithm '1' -barrier_crossover '2' -barrier_limits_corrections '56341' -barrier_limits_growth '1.455440734053253E14' -barrier_ordering '2' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '2' -emphasis_numerical 'no' -feasopt_mode '4' -lpmethod '5' -mip_cuts_cliques '2' -mip_cuts_covers '1' -mip_cuts_disjunctive '0' -mip_cuts_flowcovers '0' -mip_cuts_gomory '2' -mip_cuts_gubcovers '-1' -mip_cuts_implied '2' -mip_cuts_mcfcut '0' -mip_cuts_mircut '2' -mip_cuts_pathcut '0' -mip_cuts_zerohalfcut '1' -mip_limits_aggforcut '31670' -mip_limits_cutpasses '56917' -mip_limits_cutsfactor '355.58694717960856' -mip_limits_gomorycand '377' -mip_limits_gomorypass '30871' -mip_limits_submipnodelim '8158' -mip_ordertype '3' -mip_strategy_backtrack '0.4539057293257749' -mip_strategy_bbinterval '1' -mip_strategy_branch '0' -mip_strategy_dive '2' -mip_strategy_file '0' -mip_strategy_fpheur '1' -mip_strategy_heuristicfreq '62507.358350447976' -mip_strategy_lbheur 'yes' -mip_strategy_nodeselect '3' -mip_strategy_order 'yes' -mip_strategy_presolvenode '-1' -mip_strategy_probe '2' -mip_strategy_rinsheur '52380' -mip_strategy_search '0' -mip_strategy_startalgorithm '2' -mip_strategy_subalgorithm '1' -mip_strategy_variableselect '4' -network_netfind '1' -network_pricing '2' -preprocessing_aggregator '40298' -preprocessing_boundstrength '0' -preprocessing_coeffreduce '0' -preprocessing_dependency '-1' -preprocessing_dual '-1' -preprocessing_fill '65' -preprocessing_linear '1' -preprocessing_numpass '60051' -preprocessing_reduce '2' -preprocessing_relax '0' -preprocessing_repeatpresolve '-1' -preprocessing_symmetry '-1' -read_scale '0' -sifting_algorithm '3' -simplex_crash '0' -simplex_dgradient '1' -simplex_limits_perturbation '9986' -simplex_limits_singularity '647' -simplex_perturbation_switch 'no' -simplex_pgradient '0' -simplex_pricing '46550' -simplex_refactor '8686.428366899265' -simplex_tolerances_markowitz '0.004415139292898876'
